player,tourney,date,elo,surface,year,month,day
Andre Agassi,La Quinta,1986.02.24,1018.2725993410054,Hard,1986,2.0,24.0
Andre Agassi,Stratton Mountain,1986.08.04,1103.827298015818,Hard,1986,8.0,4.0
Andre Agassi,US Open,1986.08.26,1079.425547141884,Hard,1986,8.0,26.0
Andre Agassi,Scottsdale,1986.10.06,1060.6674476818878,Hard,1986,10.0,6.0
Andre Agassi,Tokyo Outdoor,1986.10.13,1048.7519733789486,Hard,1986,10.0,13.0
Andre Agassi,Houston,1986.11.17,1051.974863076043,Carpet,1986,11.0,17.0
Andre Agassi,Philadelphia,1987.02.02,1037.2603816169908,Carpet,1987,2.0,2.0
Andre Agassi,Key Biscayne,1987.02.23,1028.2382541424452,Hard,1987,2.0,23.0
Andre Agassi,Tokyo Outdoor,1987.04.13,1111.1308959586593,Hard,1987,4.0,13.0
Andre Agassi,Seoul,1987.04.20,1166.5289876923648,Hard,1987,4.0,20.0
Andre Agassi,Rome,1987.05.11,1170.5842186518519,Clay,1987,5.0,11.0
Andre Agassi,Florence,1987.05.18,1154.4975265169585,Clay,1987,5.0,18.0
Andre Agassi,Roland Garros,1987.05.25,1142.9372491312226,Clay,1987,5.0,25.0
Andre Agassi,Wimbledon,1987.06.22,1131.7243929563688,Grass,1987,6.0,22.0
Andre Agassi,Boston,1987.07.06,1108.850792880804,Clay,1987,7.0,6.0
Andre Agassi,Indianapolis,1987.07.13,1132.0485061748846,Clay,1987,7.0,13.0
Andre Agassi,Schenectady,1987.07.20,1111.224727532526,Hard,1987,7.0,20.0
Andre Agassi,Washington,1987.07.27,1087.3314255840746,Hard,1987,7.0,27.0
Andre Agassi,Stratton Mountain,1987.08.03,1174.245871357472,Hard,1987,8.0,3.0
Andre Agassi,US Open,1987.09.01,1160.7584012746986,Hard,1987,9.0,1.0
Andre Agassi,Los Angeles,1987.09.21,1189.701092455875,Hard,1987,9.0,21.0
