player,tourney,date,elo,surface,year,month,day
Alexander Zverev,Metz,2011.09.19,983.4520384147943,Hard,2011,9.0,19.0
Alexander Zverev,Hamburg,2013.07.15,978.1211947609512,Clay,2013,7.0,15.0
Alexander Zverev,Metz,2013.09.16,998.6457131928064,Hard,2013,9.0,16.0
Alexander Zverev,Auckland,2014.01.06,1006.4599669647293,Hard,2014,1.0,6.0
Alexander Zverev,Delray Beach,2014.02.17,989.9541624304793,Hard,2014,2.0,17.0
Alexander Zverev,Houston,2014.04.07,975.3311399866367,Clay,2014,4.0,7.0
Alexander Zverev,Munich,2014.04.28,971.394094246422,Clay,2014,4.0,28.0
Alexander Zverev,Dusseldorf,2014.05.18,996.8935637790396,Clay,2014,5.0,18.0
Alexander Zverev,Stuttgart,2014.07.07,991.3531786619534,Clay,2014,7.0,7.0
Alexander Zverev,Hamburg,2014.07.14,1122.0682965462697,Clay,2014,7.0,14.0
Alexander Zverev,Umag,2014.07.21,1109.7284262215042,Clay,2014,7.0,21.0
Alexander Zverev,Kitzbühel,2014.07.27,1089.9774493547604,Clay,2014,7.0,27.0
Alexander Zverev,ATP Masters 1000 Cincinnati,2014.08.10,1078.5946730130634,Hard,2014,8.0,10.0
Alexander Zverev,US Open,2014.08.25,1078.0417626412284,Hard,2014,8.0,25.0
Alexander Zverev,Vienna,2014.10.13,1100.4292602207563,Hard,2014,10.0,13.0
Alexander Zverev,Basel,2014.10.20,1098.6024876996096,Hard,2014,10.0,20.0
Alexander Zverev,Brisbane,2015.01.04,1086.5940380363788,Hard,2015,1.0,4.0
Alexander Zverev,Australian Open,2015.01.19,1064.3967119242443,Hard,2015,1.0,19.0
Alexander Zverev,Montpellier,2015.02.02,1083.4857854817951,Hard,2015,2.0,2.0
Alexander Zverev,Rotterdam,2015.02.09,1079.5573559719194,Hard,2015,2.0,9.0
Alexander Zverev,Marseille,2015.02.16,1132.9499261665605,Hard,2015,2.0,16.0
Alexander Zverev,Dubai,2015.02.23,1115.0833312999737,Hard,2015,2.0,23.0
Alexander Zverev,ATP Masters 1000 Indian Wells,2015.03.12,1097.557474136103,Hard,2015,3.0,12.0
Alexander Zverev,ATP Masters 1000 Miami,2015.03.25,1160.3239901181914,Hard,2015,3.0,25.0
Alexander Zverev,Houston,2015.04.06,1142.7092597934093,Clay,2015,4.0,6.0
Alexander Zverev,Munich,2015.04.27,1161.5560137359785,Clay,2015,4.0,27.0
Alexander Zverev,Roland Garros,2015.05.24,1158.2632604033972,Clay,2015,5.0,24.0
Alexander Zverev,Stuttgart,2015.06.08,1166.1229518091473,Grass,2015,6.0,8.0
Alexander Zverev,Halle,2015.06.15,1179.7076403813048,Grass,2015,6.0,15.0
Alexander Zverev,Nottingham,2015.06.21,1223.373284315496,Grass,2015,6.0,21.0
Alexander Zverev,Wimbledon,2015.06.29,1228.9488573455199,Grass,2015,6.0,29.0
Alexander Zverev,Bastad,2015.07.20,1286.92554815664,Clay,2015,7.0,20.0
Alexander Zverev,Hamburg,2015.07.27,1273.0404039163968,Clay,2015,7.0,27.0
Alexander Zverev,Washington,2015.08.03,1337.51034757933,Hard,2015,8.0,3.0
Alexander Zverev,ATP Masters 1000 Cincinnati,2015.08.16,1348.8970106689305,Hard,2015,8.0,16.0
Alexander Zverev,US Open,2015.08.31,1363.4015375080805,Hard,2015,8.0,31.0
Alexander Zverev,Metz,2015.09.21,1346.3141429075365,Hard,2015,9.0,21.0
Alexander Zverev,Kuala Lumpur,2015.09.28,1333.0659280475375,Hard,2015,9.0,28.0
Alexander Zverev,Beijing,2015.10.05,1309.025989242455,Hard,2015,10.0,5.0
Alexander Zverev,Stockholm,2015.10.19,1308.7496324389185,Hard,2015,10.0,19.0
Alexander Zverev,Australian Open,2016.01.18,1306.755549944128,Hard,2016,1.0,18.0
Alexander Zverev,Montpellier,2016.02.01,1340.6101800250913,Hard,2016,2.0,1.0
Alexander Zverev,Rotterdam,2016.02.08,1376.0864998584118,Hard,2016,2.0,8.0
Alexander Zverev,Marseille,2016.02.15,1385.424668964904,Hard,2016,2.0,15.0
Alexander Zverev,ATP Masters 1000 Indian Wells,2016.03.10,1437.419615897534,Hard,2016,3.0,10.0
Alexander Zverev,ATP Masters 1000 Miami,2016.03.23,1417.8103349284634,Hard,2016,3.0,23.0
Alexander Zverev,ATP Masters 1000 Monte Carlo,2016.04.10,1393.8449218150936,Clay,2016,4.0,10.0
Alexander Zverev,Barcelona,2016.04.18,1384.372000422176,Clay,2016,4.0,18.0
Alexander Zverev,Munich,2016.04.25,1427.9292524148582,Clay,2016,4.0,25.0
Alexander Zverev,ATP Masters 1000 Rome,2016.05.08,1447.0406853150173,Clay,2016,5.0,8.0
