player,wins,losses,matches
Adrian Mannarino,209.0,203.0,412.0
Adrian Menendez-Maceiras,72.0,81.0,153.0
Adrian Ungur,44.0,66.0,110.0
Adrian Voinea,49.0,78.0,127.0
Agustin Calleri,134.0,134.0,268.0
Aisam-Ul-Haq Qureshi,27.0,24.0,51.0
Albert Costa,151.0,120.0,271.0
Albert Montanes,223.0,246.0,469.0
Albert Portas,91.0,128.0,219.0
Albert Ramos-Vinolas,242.0,227.0,469.0
Alberto Berasategui,23.0,34.0,57.0
Alberto Martin,185.0,197.0,382.0
Aldin Setkic,16.0,36.0,52.0
Alejandro Falla,163.0,173.0,336.0
Alejandro Gonzalez,47.0,62.0,109.0
Aleksandr Nedovyesov,24.0,41.0,65.0
Alessandro Giannessi,47.0,59.0,106.0
Alessio Di Mauro,23.0,40.0,63.0
Alex Bogdanovic,30.0,44.0,74.0
Alex Bogomolov Jr.,107.0,115.0,222.0
Alex Bolt,32.0,34.0,66.0
Alex Calatrava,44.0,73.0,117.0
Alex Corretja,153.0,100.0,253.0
Alex Kuznetsov,71.0,78.0,149.0
Alex de Minaur,63.0,49.0,112.0
Alexander Bublik,29.0,34.0,63.0
Alexander Kudryavtsev,56.0,51.0,107.0
Alexander Peya,56.0,59.0,115.0
Alexander Popp,29.0,45.0,74.0
Alexander Waske,25.0,51.0,76.0
Alexander Zverev,195.0,103.0,298.0
Alexandr Dolgopolov,208.0,184.0,392.0
Alexandre Sidorenko,31.0,31.0,62.0
Alexei Popyrin,25.0,28.0,53.0
Aljaz Bedene,126.0,122.0,248.0
Amer Delic,58.0,66.0,124.0
Amir Weintraub,18.0,33.0,51.0
Andre Agassi,262.0,72.0,334.0
Andre Ghem,32.0,39.0,71.0
Andre Sa,45.0,92.0,137.0
Andrea Arnaboldi,39.0,47.0,86.0
Andrea Gaudenzi,44.0,70.0,114.0
Andreas Beck,71.0,71.0,142.0
Andreas Haider-Maurer,64.0,91.0,155.0
Andreas Seppi,317.0,316.0,633.0
Andreas Vinciguerra,64.0,63.0,127.0
Andrei Medvedev,42.0,46.0,88.0
Andrei Pavel,177.0,166.0,343.0
Andrei Stoliarov,27.0,47.0,74.0
Andrej Martin,35.0,46.0,81.0
Andrew Ilie,59.0,75.0,134.0
Andrey Golubev,104.0,135.0,239.0
Andrey Kuznetsov,111.0,97.0,208.0
Andrey Rublev,99.0,88.0,187.0
Andy Murray,499.0,148.0,647.0
Andy Roddick,397.0,135.0,532.0
Ante Pavic,30.0,35.0,65.0
Antonio Veic,59.0,58.0,117.0
Antony Dupuis,68.0,96.0,164.0
Arnaud Clement,229.0,243.0,472.0
Arnaud Di Pasquale,56.0,77.0,133.0
Attila Savolt,23.0,37.0,60.0
Austin Krajicek,44.0,47.0,91.0
Benjamin Becker,180.0,194.0,374.0
Benoit Paire,213.0,197.0,410.0
Bernard Tomic,170.0,168.0,338.0
Bjorn Fratangelo,53.0,52.0,105.0
Bjorn Phau,111.0,128.0,239.0
Blaz Kavcic,91.0,92.0,183.0
Bobby Reynolds,74.0,76.0,150.0
Bohdan Ulihrach,90.0,114.0,204.0
Boris Pashanski,47.0,60.0,107.0
Borna Coric,132.0,111.0,243.0
Bradley Klahn,45.0,60.0,105.0
Brendan Evans,27.0,35.0,62.0
Brian Baker,23.0,36.0,59.0
Brydan Klein,16.0,41.0,57.0
Byron Black,47.0,56.0,103.0
Cameron Norrie,57.0,51.0,108.0
Carlos Berlocq,136.0,178.0,314.0
Carlos Moya,313.0,174.0,487.0
Casper Ruud,58.0,43.0,101.0
Cecil Mamiit,43.0,76.0,119.0
Cedric Pioline,87.0,76.0,163.0
Cedrik-Marcel Stebe,56.0,58.0,114.0
Chris Guccione,62.0,74.0,136.0
Chris Woodruff,41.0,49.0,90.0
Christian Ruud,30.0,36.0,66.0
Christophe Rochus,117.0,164.0,281.0
Cristian Garin,49.0,37.0,86.0
Cyril Saulnier,55.0,83.0,138.0
Damir Dzumhur,117.0,123.0,240.0
Danai Udomchoke,38.0,63.0,101.0
Daniel Brands,138.0,125.0,263.0
Daniel Evans,77.0,59.0,136.0
Daniel Gimeno-Traver,146.0,183.0,329.0
Daniel Koellerer,26.0,32.0,58.0
Daniel Munoz de la Nava,72.0,72.0,144.0
Daniel Nestor,23.0,31.0,54.0
Daniel Vacek,29.0,50.0,79.0
Daniele Bracciali,26.0,40.0,66.0
Daniil Medvedev,131.0,70.0,201.0
Darian King,24.0,28.0,52.0
David Ferrer,574.0,284.0,858.0
David Goffin,237.0,146.0,383.0
David Guez,44.0,56.0,100.0
David Marrero,28.0,32.0,60.0
David Nalbandian,265.0,142.0,407.0
David Prinosil,47.0,64.0,111.0
David Sanchez,74.0,88.0,162.0
Davide Sanguinetti,101.0,154.0,255.0
Denis Gremelmayr,57.0,64.0,121.0
Denis Istomin,191.0,233.0,424.0
Denis Kudla,134.0,127.0,261.0
Denis Shapovalov,65.0,54.0,119.0
Dennis Novak,31.0,24.0,55.0
Dennis Novikov,34.0,41.0,75.0
Dennis Van Scheppingen,20.0,35.0,55.0
Di Wu,17.0,35.0,52.0
Dick Norman,20.0,42.0,62.0
Diego Hartfield,23.0,28.0,51.0
Diego Junqueira,41.0,46.0,87.0
Diego Schwartzman,154.0,122.0,276.0
Dieter Kindlmann,31.0,32.0,63.0
Dmitry Tursunov,192.0,176.0,368.0
Dominic Thiem,256.0,120.0,376.0
Dominik Hrbaty,231.0,201.0,432.0
Dominik Meffert,37.0,42.0,79.0
Donald Young,161.0,182.0,343.0
Dudi Sela,127.0,156.0,283.0
Dusan Lajovic,162.0,161.0,323.0
Dusan Vemic,28.0,35.0,63.0
Dustin Brown,119.0,121.0,240.0
Edouard Roger-Vasselin,136.0,140.0,276.0
Eduardo Schwank,68.0,73.0,141.0
Egor Gerasimov,34.0,41.0,75.0
Elias Ymer,51.0,55.0,106.0
Ernesto Escobedo,40.0,39.0,79.0
Ernests Gulbis,214.0,202.0,416.0
Evgeny Donskoy,92.0,128.0,220.0
Evgeny Korolev,110.0,107.0,217.0
Fabio Fognini,306.0,261.0,567.0
Fabrice Santoro,210.0,188.0,398.0
Facundo Arguello,29.0,36.0,65.0
Facundo Bagnis,86.0,86.0,172.0
Farrukh Dustov,27.0,44.0,71.0
Federico Delbonis,141.0,143.0,284.0
Federico Luzzi,23.0,32.0,55.0
Feliciano Lopez,385.0,347.0,732.0
Felix Auger-Aliassime,48.0,33.0,81.0
Felix Mantilla,147.0,116.0,263.0
Fernando Gonzalez,283.0,147.0,430.0
Fernando Meligeni,77.0,87.0,164.0
Fernando Verdasco,428.0,313.0,741.0
Fernando Vicente,120.0,156.0,276.0
Filip Krajinovic,89.0,78.0,167.0
Filippo Volandri,131.0,190.0,321.0
Flavio Cipolla,101.0,109.0,210.0
Flavio Saretta,53.0,63.0,116.0
Florent Serra,132.0,156.0,288.0
Florian Mayer,198.0,210.0,408.0
Frances Tiafoe,66.0,75.0,141.0
Francisco Clavet,88.0,92.0,180.0
Franco Squillari,96.0,102.0,198.0
Frank Dancevic,126.0,112.0,238.0
Franko Skugor,54.0,54.0,108.0
Frantisek Cermak,26.0,38.0,64.0
Fred Gil,82.0,82.0,164.0
Frederik Nielsen,26.0,26.0,52.0
Gael Monfils,387.0,212.0,599.0
Galo Blanco,68.0,90.0,158.0
Gastao Elias,58.0,80.0,138.0
Gaston Gaudio,211.0,147.0,358.0
George Bastl,65.0,111.0,176.0
Gerald Melzer,48.0,49.0,97.0
Gianluca Naso,36.0,46.0,82.0
Gianluca Pozzi,40.0,62.0,102.0
Gilles Muller,186.0,183.0,369.0
Gilles Simon,371.0,261.0,632.0
Giovanni Lapentti,34.0,49.0,83.0
Go Soeda,74.0,107.0,181.0
Goran Ivanisevic,57.0,73.0,130.0
Greg Jones,29.0,37.0,66.0
Greg Rusedski,166.0,112.0,278.0
Grega Zemlja,61.0,71.0,132.0
Gregory Carraz,25.0,36.0,61.0
Grigor Dimitrov,264.0,165.0,429.0
Guido Andreozzi,46.0,56.0,102.0
Guido Pella,124.0,112.0,236.0
Guilherme Clezar,31.0,45.0,76.0
Guillaume Rufin,52.0,43.0,95.0
Guillermo Canas,170.0,129.0,299.0
Guillermo Coria,160.0,74.0,234.0
Guillermo Garcia-Lopez,280.0,295.0,575.0
Gustavo Kuerten,211.0,102.0,313.0
Harel Levy,62.0,79.0,141.0
Henri Laaksonen,59.0,63.0,122.0
Hernan Gumy,21.0,31.0,52.0
Hicham Arazi,100.0,109.0,209.0
Hiroki Moriya,34.0,46.0,80.0
Horacio Zeballos,112.0,144.0,256.0
Hubert Hurkacz,46.0,38.0,84.0
Hugo Armando,24.0,35.0,59.0
Hyeon Chung,74.0,61.0,135.0
Hyung-Taik Lee,98.0,119.0,217.0
Igor Andreev,196.0,187.0,383.0
Igor Kunitsyn,100.0,136.0,236.0
Igor Sijsling,84.0,95.0,179.0
Ilija Bozoljac,52.0,53.0,105.0
Illya Marchenko,113.0,111.0,224.0
Ilya Ivashka,40.0,42.0,82.0
Inigo Cervantes,45.0,69.0,114.0
Irakli Labadze,31.0,61.0,92.0
Ivan Dodig,140.0,144.0,284.0
Ivan Ljubicic,283.0,208.0,491.0
Ivan Navarro,74.0,98.0,172.0
Ivo Heuberger,21.0,51.0,72.0
Ivo Karlovic,304.0,274.0,578.0
Ivo Klec,19.0,50.0,69.0
Ivo Minar,62.0,67.0,129.0
Izak Van der Merwe,31.0,36.0,67.0
Jack Sock,135.0,108.0,243.0
James Blake,255.0,180.0,435.0
James Duckworth,46.0,61.0,107.0
James McGee,21.0,31.0,52.0
James Ward,57.0,86.0,143.0
Jamie Baker,24.0,28.0,52.0
Jan Hajek,57.0,80.0,137.0
Jan Hernych,140.0,141.0,281.0
Jan Kroslak,19.0,38.0,57.0
Jan Mertl,21.0,42.0,63.0
Jan Siemerink,41.0,57.0,98.0
Jan Vacek,24.0,44.0,68.0
Jan-Lennard Struff,147.0,155.0,302.0
Jan-Michael Gambill,123.0,129.0,252.0
Janko Tipsarevic,207.0,190.0,397.0
Jared Donaldson,67.0,70.0,137.0
Jarkko Nieminen,316.0,278.0,594.0
Jason Stoltenberg,57.0,42.0,99.0
Jaume Munar,40.0,47.0,87.0
Javier Marti,29.0,31.0,60.0
Jean-Rene Lisnard,52.0,79.0,131.0
Jeff Morrison,15.0,41.0,56.0
Jeff Tarango,36.0,57.0,93.0
Jens Knippschild,26.0,40.0,66.0
Jeremy Chardy,246.0,225.0,471.0
Jerome Golmard,88.0,66.0,154.0
Jerzy Janowicz,87.0,91.0,178.0
Jesse Huta Galung,51.0,62.0,113.0
Jesse Levine,77.0,73.0,150.0
Jesse Witten,25.0,35.0,60.0
Jim Courier,30.0,24.0,54.0
Jimmy Wang,59.0,64.0,123.0
Jiri Novak,181.0,139.0,320.0
Jiri Vanek,62.0,100.0,162.0
Jiri Vesely,93.0,109.0,202.0
Jo-Wilfried Tsonga,364.0,171.0,535.0
Joachim Johansson,52.0,40.0,92.0
Joao Sousa,186.0,192.0,378.0
Joao Souza,71.0,100.0,171.0
John Isner,340.0,194.0,534.0
John Millman,85.0,92.0,177.0
John van Lottum,36.0,61.0,97.0
John-Patrick Smith,53.0,60.0,113.0
Jonas Bjorkman,165.0,166.0,331.0
Jonathan Eysseric,13.0,40.0,53.0
Jordan Thompson,40.0,60.0,100.0
Jose Acasuso,154.0,140.0,294.0
Joseph Sirianni,27.0,33.0,60.0
Josselin Ouanna,43.0,47.0,90.0
Jozef Kovalik,57.0,58.0,115.0
Juan Antonio Marin,47.0,79.0,126.0
Juan Balcells,34.0,37.0,71.0
Juan Carlos Ferrero,340.0,188.0,528.0
Juan Ignacio Chela,259.0,213.0,472.0
Juan Ignacio Londero,35.0,36.0,71.0
Juan Martin del Potro,358.0,138.0,496.0
Juan Monaco,271.0,213.0,484.0
Juan Pablo Brzezicki,28.0,29.0,57.0
Julian Reister,65.0,63.0,128.0
Julien Benneteau,246.0,234.0,480.0
Julien Boutter,48.0,58.0,106.0
Julio Silva,23.0,35.0,58.0
Jurgen Melzer,271.0,247.0,518.0
Jurgen Zopp,67.0,67.0,134.0
Justin Gimelstob,67.0,98.0,165.0
Karen Khachanov,111.0,88.0,199.0
Karim Alami,53.0,68.0,121.0
Karol Beck,64.0,101.0,165.0
Karol Kucera,117.0,91.0,208.0
Kei Nishikori,371.0,165.0,536.0
Kenneth Carlsen,89.0,109.0,198.0
Kenny De Schepper,88.0,100.0,188.0
Kevin Anderson,306.0,184.0,490.0
Kevin Kim,64.0,97.0,161.0
Konstantin Kravchuk,50.0,51.0,101.0
Kristian Pless,41.0,77.0,118.0
Kristof Vliegen,65.0,94.0,159.0
Kyle Edmund,107.0,89.0,196.0
Lars Burgsmuller,64.0,108.0,172.0
Laslo Djere,46.0,50.0,96.0
Laurence Tieleman,22.0,35.0,57.0
Laurent Recouderc,25.0,33.0,58.0
Leonardo Mayer,167.0,176.0,343.0
Lleyton Hewitt,424.0,187.0,611.0
Lorenzo Giustino,24.0,29.0,53.0
Lorenzo Sonego,42.0,34.0,76.0
Luca Vanni,32.0,44.0,76.0
Lucas Pouille,120.0,103.0,223.0
Luis Horna,89.0,111.0,200.0
Luka Gregorc,36.0,35.0,71.0
Lukas Dlouhy,34.0,65.0,99.0
Lukas Lacko,134.0,149.0,283.0
Lukas Rosol,136.0,162.0,298.0
Lukasz Kubot,127.0,134.0,261.0
Mackenzie McDonald,38.0,45.0,83.0
Magnus Gustafsson,60.0,46.0,106.0
Magnus Larsson,41.0,38.0,79.0
Magnus Norman,141.0,87.0,228.0
Malek Jaziri,99.0,136.0,235.0
Marat Safin,287.0,176.0,463.0
Marc Gicquel,111.0,108.0,219.0
Marc Lopez,31.0,36.0,67.0
Marc Rosset,87.0,94.0,181.0
Marcel Granollers,206.0,223.0,429.0
Marcelo Rios,131.0,76.0,207.0
Marco Cecchinato,92.0,90.0,182.0
Marco Chiudinelli,102.0,119.0,221.0
Marco Crugnola,25.0,28.0,53.0
Marco Trungelliti,55.0,53.0,108.0
Marcos Baghdatis,264.0,225.0,489.0
Marcos Daniel,21.0,50.0,71.0
Mardy Fish,224.0,162.0,386.0
Mariano Puerta,89.0,83.0,172.0
Mariano Zabaleta,139.0,150.0,289.0
Marin Cilic,384.0,199.0,583.0
Marinko Matosevic,94.0,109.0,203.0
Mario Ancic,153.0,92.0,245.0
Marius Copil,116.0,125.0,241.0
Mark Philippoussis,135.0,91.0,226.0
Markus Hantschk,24.0,32.0,56.0
Markus Hipfl,40.0,52.0,92.0
Marsel Ilhan,94.0,102.0,196.0
Martin Alund,28.0,31.0,59.0
Martin Damm,30.0,44.0,74.0
Martin Fischer,76.0,59.0,135.0
Martin Klizan,159.0,132.0,291.0
Martin Vassallo Arguello,38.0,67.0,105.0
Martin Verkerk,54.0,58.0,112.0
Marton Fucsovics,86.0,88.0,174.0
Mate Pavic,21.0,30.0,51.0
Matteo Berrettini,69.0,44.0,113.0
Matteo Viola,42.0,54.0,96.0
Matthew Ebden,119.0,134.0,253.0
Matthias Bachinger,129.0,121.0,250.0
Matwe Middelkoop,20.0,32.0,52.0
Max Mirnyi,169.0,170.0,339.0
Maxime Teixeira,26.0,27.0,53.0
Maximilian Marterer,45.0,53.0,98.0
Maximo Gonzalez,69.0,79.0,148.0
Michael Berrer,181.0,162.0,343.0
Michael Chang,73.0,72.0,145.0
Michael Kohlmann,19.0,45.0,64.0
Michael Lammer,31.0,42.0,73.0
