player,year,wins,losses
Adrian Mannarino,2008,7,5
Adrian Mannarino,2009,5,10
Adrian Mannarino,2010,14,5
Adrian Mannarino,2011,21,21
Adrian Mannarino,2012,8,10
Adrian Mannarino,2013,14,16
Adrian Mannarino,2014,16,19
Adrian Mannarino,2015,29,23
Adrian Mannarino,2016,23,24
Adrian Mannarino,2017,32,22
Adrian Mannarino,2018,19,26
Adrian Mannarino,2019,21,21
Adrian Menendez-Maceiras,2008,2,5
Adrian Menendez-Maceiras,2010,2,6
Adrian Menendez-Maceiras,2011,2,2
Adrian Menendez-Maceiras,2012,8,8
Adrian Menendez-Maceiras,2013,8,5
Adrian Menendez-Maceiras,2014,5,6
Adrian Menendez-Maceiras,2015,11,10
Adrian Menendez-Maceiras,2016,7,9
Adrian Menendez-Maceiras,2017,9,9
Adrian Menendez-Maceiras,2018,10,10
Adrian Menendez-Maceiras,2019,8,9
Adrian Ungur,2007,2,4
Adrian Ungur,2008,2,5
Adrian Ungur,2009,1,3
Adrian Ungur,2010,5,6
Adrian Ungur,2011,8,7
Adrian Ungur,2012,4,13
Adrian Ungur,2013,4,12
Adrian Ungur,2014,7,4
Adrian Ungur,2015,5,6
Adrian Ungur,2016,6,6
Adrian Voinea,1999,13,20
Adrian Voinea,2000,7,17
Adrian Voinea,2001,8,8
Adrian Voinea,2002,18,17
Adrian Voinea,2003,3,14
Agustin Calleri,1999,3,3
Agustin Calleri,2000,6,3
Agustin Calleri,2001,5,11
Agustin Calleri,2002,14,14
Agustin Calleri,2003,25,18
Agustin Calleri,2004,16,13
Agustin Calleri,2005,19,16
Agustin Calleri,2006,12,13
Agustin Calleri,2007,24,21
Agustin Calleri,2008,8,14
Agustin Calleri,2009,2,8
Aisam-Ul-Haq Qureshi,2007,15,6
Aisam-Ul-Haq Qureshi,2008,4,7
Aisam-Ul-Haq Qureshi,2009,3,3
Aisam-Ul-Haq Qureshi,2010,3,4
Aisam-Ul-Haq Qureshi,2015,2,1
Albert Costa,1998,6,5
Albert Costa,1999,34,20
Albert Costa,2000,25,19
Albert Costa,2001,13,12
Albert Costa,2002,28,17
Albert Costa,2003,20,14
Albert Costa,2004,11,16
Albert Costa,2005,12,16
Albert Costa,2006,2,1
Albert Montanes,2001,10,7
Albert Montanes,2002,14,18
Albert Montanes,2003,9,14
Albert Montanes,2004,2,13
Albert Montanes,2005,8,15
Albert Montanes,2006,6,12
Albert Montanes,2007,18,19
Albert Montanes,2008,15,16
Albert Montanes,2009,14,16
Albert Montanes,2010,36,21
Albert Montanes,2011,20,20
Albert Montanes,2012,7,16
Albert Montanes,2013,22,15
Albert Montanes,2014,15,18
Albert Montanes,2015,15,13
Albert Montanes,2016,10,9
Albert Montanes,2017,2,4
Albert Portas,1998,4,5
Albert Portas,1999,13,16
Albert Portas,2000,22,21
Albert Portas,2001,16,20
Albert Portas,2002,8,18
Albert Portas,2003,6,15
Albert Portas,2004,4,12
Albert Portas,2006,6,9
Albert Portas,2007,12,9
Albert Ramos-Vinolas,2007,1,2
Albert Ramos-Vinolas,2008,1,1
Albert Ramos-Vinolas,2009,1,1
Albert Ramos-Vinolas,2010,12,11
Albert Ramos-Vinolas,2011,25,19
Albert Ramos-Vinolas,2012,24,26
Albert Ramos-Vinolas,2013,21,24
Albert Ramos-Vinolas,2014,32,23
Albert Ramos-Vinolas,2015,16,19
Albert Ramos-Vinolas,2016,27,24
Albert Ramos-Vinolas,2017,32,25
Albert Ramos-Vinolas,2018,19,29
Albert Ramos-Vinolas,2019,31,23
Alberto Berasategui,1998,1,4
Alberto Berasategui,1999,19,18
Alberto Berasategui,2000,3,12
Alberto Martin,1999,25,18
Alberto Martin,2000,18,25
Alberto Martin,2001,19,14
Alberto Martin,2002,17,19
Alberto Martin,2003,16,21
Alberto Martin,2004,16,20
Alberto Martin,2005,17,19
Alberto Martin,2006,14,16
Alberto Martin,2007,12,15
Alberto Martin,2008,10,6
