tourney,year,location,lng,lat,surface,money
Monterrey WCT,1976,Monterrey,-100.30309615,25.64879495,Carpet,271654
Indianapolis WCT,1976,Indianapolis,-86.13274999999999,39.7797845,Carpet,271654
Copenhagen,1976,Copenhagen,12.5938239,55.67126735,Carpet,0
Atlanta WCT,1976,Atlanta,-84.42060395,33.76771289999999,Carpet,271654
Baltimore,1976,Baltimore,-76.62049675,39.284706400000005,Carpet,226378
Birmingham,1976,Birmingham,-86.85013694999998,33.5312374,Carpet,226378
Philadelphia WCT,1976,Philadelphia,-75.11802829999998,40.002497999999996,Carpet,520669
Cleveland,1976,Cleveland,-81.70585994999998,41.497532,Carpet,67913
Barcelona WCT,1976,Barcelona,2.14876785,41.39479005,Carpet,271654
Boca Raton,1976,Boca Raton,-80.11736545,26.3728294,Clay,271654
Dayton,1976,Dayton,-84.20215735,39.8113284,Carpet,158465
Richmond WCT,1976,Richmond,-77.49326145,37.52466095,Carpet,271654
Toronto WCT,1976,Toronto,-79.37805804999998,43.7182412,Carpet,271654
Lagos WCT,1976,Lagos,3.28395955,6.548055099999999,Hard,271654
Salisbury,1976,Salisbury,-75.590059,38.37743795,Carpet,226378
Rome WCT,1976,Rome,12.5359979,41.9100711,Carpet,271654
St. Louis WCT,1976,St. Louis,-90.243462,38.65310045,Carpet,271654
Rotterdam WCT,1976,Rotterdam,4.490406299999999,51.92797225,Carpet,271654
Fort Worth WCT,1976,Fort Worth,-97.28931895,32.80081295,Hard,271654
Khartoum,1976,Khartoum,32.5725965,15.5015451,Hard,45276
Basel,1976,Basel,7.59445995,47.55459664999999,Carpet,135827
Little Rock,1976,Little Rock,-92.3379275,34.7240049,Hard,158465
Nuremberg,1976,Nuremberg,11.133037300000002,49.43609355,Carpet,113189
Mexico City WCT,1976,Mexico City,-99.14361265,19.3907336,Carpet,271654
Hampton,1976,Hampton,-76.29245895000003,37.02300155,Carpet,226378
Jackson WCT,1976,Jackson,-90.1937874,32.310328399999996,Carpet,271654
Palm Springs,1976,Palm Springs,-116.563947,33.7716325,Hard,905512
Barcelona,1976,Barcelona,2.14876785,41.39479005,Clay,135827
Sao Paulo WCT,1976,Sao Paulo,-46.5952992,-23.682412399999997,Carpet,271654
Caracas WCT,1976,Caracas,-66.89036585,10.46839175,Hard,271654
Nice,1976,Nice,7.252817049999999,43.70319045,Clay,135827
Houston WCT,1976,Houston,-95.40129145,29.81717795,Clay,271654
Johannesburg WCT,1976,Johannesburg,28.04002455,-26.1715215,Hard,271654
Palma,1976,Mallorca,2.9116515,39.61349795,Clay,135827
Monte Carlo WCT,1976,Monte Carlo,7.42597045,43.741053,Clay,271654
Charlotte WCT,1976,Charlotte,-80.83982895,35.20315345,Clay,271654
Madrid,1976,Madrid,-3.67953665,40.437954299999994,Clay,135827
Denver WCT,1976,Denver,-104.85511145,39.76433895,Carpet,271654
Stockholm - WCT,1976,Stockholm,17.982052499999998,59.32614194999999,Carpet,271654
Sacramento,1976,Sacramento,-121.4429125,38.5615405,Carpet,113189
Florence,1976,Florence,11.2409679,43.77995815,Clay,135827
Dallas WCT,1976,Dallas,-96.73154245,32.820664550000004,Carpet,452756
Munich,1976,Munich,11.54183575,48.15491075,Clay,226378
Bournemouth,1976,Bournemouth,-1.8597388,50.75400405,Clay,339567
Las Vegas,1976,Las Vegas,-115.23834850000001,36.25512295,Hard,679134
Hamburg,1976,Hamburg,10.02768365,53.56728285,Clay,452756
